museum,museumLabel,creation_date,visitors,coord,image
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,7714389,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,7432801,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,26476,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,28265,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,28328,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,29533,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,29638,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,174049,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,30633,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,32473,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,36415,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,38562,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,42326,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,97000,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,52467,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,54412,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,6746198,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,2593260,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,9932,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,10832,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,11289,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,19871,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,20975,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,5606127,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,4741758,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,72141,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,24107,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,76982,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,78369,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,34493,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,35425,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,4329611,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,31600,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,21710,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,31270,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,69587,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,6087556,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,16819,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,71716,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,74579,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8397,Gadagne,,74886,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q9485,manécanterie de Lyon,,,Point(4.82680556 45.760625),http://commons.wikimedia.org/wiki/Special:FilePath/Man%C3%A9canterie%20de%20Lyon.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,21156,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,22251,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,78862,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,24725,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,79449,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,26199,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q28924,catacombes de Paris,1787-01-01T00:00:00Z,601900,Point(2.33245 48.83397),http://commons.wikimedia.org/wiki/Special:FilePath/Catacumbas%2C%20Par%C3%ADs%2C%20Francia%2C%202022-11-01%2C%20DD%20117-119%20HDR.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,26421,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,26478,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,4226879,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,31994,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q75566,musée des Beaux-Arts d'Arras,1825-01-01T00:00:00Z,137267,Point(2.773333333 50.291944444),http://commons.wikimedia.org/wiki/Special:FilePath/0%20Arras%20-%20Abbaye%20Saint-Vaast%20d%27Arras%20%281%29.JPG
http://www.wikidata.org/entity/Q8323,musée de l'Imprimerie et de la Communication graphique,1963-06-08T00:00:00Z,35478,Point(4.83472222 45.76444444),http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Imprimerie%20Lyon2%20fr%20facade.JPG
http://www.wikidata.org/entity/Q8397,Gadagne,,95291,Point(4.8275 45.76416667),http://commons.wikimedia.org/wiki/Special:FilePath/Cour-gadagne%20Photo%20Service-communication-Gadagne%202021%20%285%29.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,1661-01-01T00:00:00Z,8132518,Point(2.120277777 48.804722222),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
